SIGLA,ESTADO,CAPITAL,REGIÃO
AC,ACRE,RIO BRANCO,NORTE
AM,AMAZONAS,MANAUS,NORTE
AP,AMAPÁ,MACAPÁ,NORTE
PA,PARÁ,BELÉM,NORTE
RO,RONDÔNIA,PORTO VELHO,NORTE
RR,RORAIMA,BOA VISTA,NORTE
TO,TOCANTINS,PALMAS,NORTE
AL,ALAGOAS,MACEIÓ,NORDESTE
BA,BAHIA,SALVADOR,NORDESTE
CE,CEARÁ,FORTALEZA,NORDESTE
MA,MARANHÃO,SÃO LUIZ,NORDESTE
PB,PARAÍBA,JOÃO PESSOA,NORDESTE
PE,PERNAMBUCO,RECIFE,NORDESTE
PI,PIAUÍ,TEREZINA,NORDESTE
RN,RIO GRANDE DO NORTE,NATAL,NORDESTE
SE,SERGIPE,ARACAJÚ,NORDESTE
GO,GOIÁS,GOIÂNIA,CENTRO-OESTE
MS,MATO GROSSO DO SUL,CAMPO GRANDE,CENTRO-OESTE
MT,MATO GROSSO,CUIABÁ,CENTRO-OESTE
ES,ESPÍRITO SANTO,VITÓRIA,SUDESTE
MG,MINAS GERAIS,BELO HORIZONTE,SUDESTE
RJ,RIO DE JANEIRO,RIO DE JANEIRO,SUDESTE
SP,SÃO PAULO,SÃO PAULO,SUDESTE
PR,PARANÁ,CURITIBA,SUL
RS,RIO GRANDE DO SUL,PORTO ALEGRE,SUL
SC,SANTA CATARINA,FLORIANÓPOLIS,SUL
DF,DISTRITO FEDERAL,BRASÍLIA,CENTRO-OESTE